Session Date,Instrument,Timeframe,Asia High Swept,Asia Low Swept,Asia Range,London Direction,London High Swept,London Low Swept,London Manipulation,NY AM Reaction,NY Direction,Kill Zone,Pattern Tag,Setup Appeared,Entry Type,Setup Direction,Potential RR,Setup Quality (1-5),Target Type,HTF Bias Aligned,Confluence Score,News Day,Day of Week,Setup Notes
2024-01-16,NQ,5m,No,Yes,Wide,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Both Sessions Swept Low,Yes,OB,Long,5.0,5,Opposing Liquidity Pool,Yes,5,None,Tuesday,BEST. Both sessions swept low. Perfect reversal setup. OB+FVG. 5R potential.
2024-01-17,ES,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,CISD,Long,2.0,3,FVG Fill,Yes,3,None,Wednesday,CISD formed cleanly. Valid but average quality.
2024-01-18,NQ,5m,Yes,No,Normal,Bullish,Yes,Not Swept,Judas Swing High,Reversal,Bearish,London Open,Asia High + London High Swept,Yes,FVG,Short,1.8,3,Time-based Exit (London Close),Yes,3,None,Thursday,Setup at London open. Time-based target because no clear liquidity pool close.
2024-01-19,NQ,5m,No,No,Tight,Ranging,No,Not Swept,None,Chop,Bearish,NY AM,No Sweeps,No,,,0,0,,No,1,None,Friday,Friday + no sweeps + ranging. No setup expected.
2024-01-22,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Both Sessions Swept Low,Yes,FVG,Long,3.5,4,Opposing Liquidity Pool,Yes,4,None,Monday,Both sessions swept low again. High confidence setup. FVG pristine.
2024-01-23,ES,5m,Yes,No,Normal,Bullish,Yes,Not Swept,Judas Swing High,Reversal,Bearish,NY AM,Asia High + London High Swept,Yes,OB,Short,3.0,4,Previous High/Low,Yes,4,None,Tuesday,ES bearish reversal. Clean OB. Consistent with Asia High + London High pattern.
2024-01-24,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Chop,Bearish,NY AM,Asia Low Swept Only,No,,,0,0,,No,2,None,Wednesday,Asia swept but London didn't follow. NY opened choppy. No valid setup.
2024-01-25,NQ,5m,No,No,Normal,Bullish,No,Not Swept,None,Continuation,Bullish,NY AM,London Low Only,Yes,FVG,Long,2.6,4,FVG Fill,Yes,4,None,Thursday,London only. FVG formed cleanly. Good setup despite no Asia sweep.
2024-01-26,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,FVG,Long,1.5,2,Time-based Exit (10:45 NY AM),Yes,3,Red News,Friday,NFP day. Setup appeared but target was time-based 10:45 due to news volatility.
2024-01-29,NQ,5m,Yes,No,Wide,Bullish,Yes,Not Swept,Judas Swing High,Reversal,Bearish,NY AM,Both Sessions Swept High,Yes,OB,Short,4.2,5,Opposing Liquidity Pool,Yes,5,None,Monday,Wide Asia. Both sessions swept high. 5/5 quality. Perfect model.
2024-01-30,ES,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,IFVG,Long,2.8,4,Opposing Liquidity Pool,Yes,4,Orange News,Tuesday,IFVG formed after sweep confirmation. Orange news but setup still clean.
2024-01-31,NQ,5m,No,No,Tight,Ranging,No,Not Swept,None,Chop,Bearish,NY AM,No Sweeps,No,,,0,0,,No,1,Red News,Wednesday,FOMC day. No setup. As planned — avoid on red news.
2024-02-01,NQ,5m,Yes,No,Normal,Bullish,Yes,Not Swept,Judas Swing High,Reversal,Bearish,NY AM,Asia High + London High Swept,Yes,FVG,Short,3.0,4,Opposing Liquidity Pool,Yes,4,None,Thursday,Consistent Asia High + London High pattern. FVG respected.
2024-02-02,ES,5m,No,Yes,Wide,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,London Open,Asia Low + London Low Swept,Yes,OB,Long,2.2,3,FVG Fill,Yes,3,None,Friday,Friday London open. OB valid but not the cleanest week-end entry.
2024-02-05,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,FVG,Long,3.6,5,Opposing Liquidity Pool,Yes,5,None,Monday,Another clean instance. Asia + London low sweep. This pattern is very consistent on NQ.
2024-02-06,NQ,5m,Yes,No,Normal,Bullish,Yes,Not Swept,Judas Swing High,Continuation,Bearish,NY AM,Asia High + London High Swept,No,,,0,0,,Yes,2,None,Tuesday,Pattern appeared but no clear entry structure formed. Didn't qualify.
2024-02-07,ES,5m,No,Yes,Tight,Bearish,No,During NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,Breaker,Long,2.4,3,FVG Fill,Yes,3,None,Wednesday,London swept during NY. Valid but late. Breaker used as entry.
2024-02-08,NQ,5m,No,No,Normal,Ranging,No,Not Swept,None,Chop,Bearish,NY AM,No Sweeps,No,,,0,0,,No,1,None,Thursday,Ranging. No sweeps. No setup. Day 4 of no-setup week.
2024-02-09,NQ,5m,Yes,No,Wide,Bullish,Yes,Not Swept,Judas Swing High,Reversal,Bearish,NY AM,Both Sessions Swept High,Yes,OB,Short,4.8,5,Opposing Liquidity Pool,Yes,5,None,Friday,Rare Friday high quality. Both swept high. 5/5.
2024-02-12,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,FVG,Long,3.1,4,Opposing Liquidity Pool,Yes,4,None,Monday,Pattern repeating on NQ. Strong tendency. FVG entry.
